HUD frame time nsec:,16665000

Range Index,Elapsed Time, First Event,Last Event
0,9440,5,5
1,38688,22,22
2,72032,54,54
3,4736,86,86
4,800,116,116
5,672,132,132
6,672,148,148
7,704,164,164
8,672,180,180
9,704,196,196
10,672,212,212
11,672,228,228
12,672,244,244
13,672,260,260
14,672,276,276
15,704,292,292
16,672,308,308
17,672,324,324
18,704,340,340
19,672,356,356
20,704,372,372
21,672,388,388
22,672,404,404
23,704,420,420
24,672,436,436
25,704,452,452
26,704,468,468
27,672,484,484
28,672,500,500
29,928,516,516
30,672,532,532
31,672,548,548
32,672,564,564
33,704,580,580
34,672,596,596
35,704,612,612
36,896,628,628
37,672,644,644
38,704,660,660
39,704,676,676
40,672,692,692
41,704,708,708
42,672,724,724
43,672,740,740
44,672,756,756
45,672,772,772
46,864,788,788
47,768,804,804
48,672,820,820
49,704,836,836
50,704,852,852
51,704,868,868
52,704,884,884
53,704,900,900
54,736,916,916
55,672,932,932
56,672,948,948
57,672,964,964
58,704,980,980
59,672,996,996
60,672,1012,1012
61,704,1028,1028
62,672,1044,1044
63,672,1060,1060
64,672,1076,1076
65,672,1092,1092
66,704,1108,1108
67,704,1124,1124
68,704,1140,1140
69,672,1156,1156
70,704,1172,1172
71,704,1188,1188
72,704,1204,1204
73,704,1220,1220
74,800,1236,1236
75,704,1252,1252
76,704,1268,1268
77,704,1284,1284
78,768,1300,1300
79,704,1316,1316
80,704,1332,1332
81,704,1348,1348
82,704,1364,1364
83,704,1380,1380
84,672,1396,1396
85,704,1412,1412
86,704,1428,1428
87,704,1444,1444
88,704,1460,1460
89,672,1476,1476
90,672,1492,1492
91,672,1508,1508
92,960,1524,1524
93,672,1540,1540
94,704,1556,1556
95,672,1572,1572
96,704,1588,1588
97,672,1604,1604
98,704,1620,1620
99,672,1636,1636
100,672,1652,1652
101,704,1668,1668
102,768,1684,1684
103,704,1700,1700
104,672,1716,1716
105,704,1732,1732
106,672,1748,1748
107,672,1764,1764
108,672,1780,1780
109,704,1796,1796
110,704,1812,1812
111,672,1828,1828
112,704,1844,1844
113,832,1860,1860
114,704,1876,1876
115,704,1892,1892
116,672,1908,1908
117,704,1924,1924
118,704,1940,1940
119,672,1956,1956
120,672,1972,1972
121,704,1988,1988
122,704,2004,2004
123,672,2020,2020
124,672,2036,2036
125,672,2052,2052
126,704,2068,2068
127,672,2084,2084
128,672,2100,2100
129,704,2116,2116
130,800,2132,2132
131,704,2148,2148
132,704,2164,2164
133,704,2180,2180
134,672,2196,2196
135,736,2212,2212
136,672,2228,2228
137,704,2244,2244
138,704,2260,2260
139,704,2276,2276
140,768,2292,2292
141,896,2308,2308
142,672,2324,2324
143,736,2340,2340
144,736,2356,2356
145,704,2372,2372
146,704,2388,2388
147,704,2404,2404
148,704,2420,2420
149,672,2436,2436
150,672,2452,2452
151,704,2468,2468
152,704,2484,2484
153,672,2500,2500
154,704,2516,2516
155,672,2532,2532
156,704,2548,2548
157,704,2564,2564
158,704,2580,2580
159,672,2596,2596
160,672,2612,2612
161,672,2628,2628
162,672,2644,2644
163,672,2660,2660
164,672,2676,2676
165,672,2692,2692
166,672,2708,2708
167,672,2724,2724
168,640,2740,2740
169,640,2756,2756
170,672,2772,2772
171,672,2788,2788
172,672,2804,2804
173,672,2820,2820
174,672,2836,2836
175,672,2852,2852
176,672,2868,2868
177,672,2884,2884
178,640,2900,2900
179,672,2916,2916
180,672,2932,2932
181,672,2948,2948
182,672,2964,2964
183,672,2980,2980
184,640,2996,2996
185,672,3012,3012
186,672,3028,3028
187,864,3044,3044
188,672,3060,3060
189,672,3076,3076
190,672,3092,3092
191,736,3108,3108
192,640,3124,3124
193,672,3140,3140
194,672,3156,3156
195,672,3172,3172
196,640,3188,3188
197,640,3204,3204
198,672,3220,3220
199,672,3236,3236
200,672,3252,3252
201,672,3268,3268
202,672,3284,3284
203,672,3300,3300
204,672,3316,3316
205,672,3332,3332
206,672,3348,3348
207,672,3364,3364
208,672,3380,3380
209,672,3396,3396
210,832,3412,3412
211,672,3428,3428
212,672,3444,3444
213,672,3460,3460
214,640,3476,3476
215,672,3492,3492
216,832,3508,3508
217,672,3524,3524
218,672,3540,3540
219,640,3556,3556
220,672,3572,3572
221,640,3588,3588
222,672,3604,3604
223,672,3620,3620
224,672,3636,3636
225,672,3652,3652
226,672,3668,3668
227,672,3684,3684
228,672,3700,3700
229,672,3716,3716
230,672,3732,3732
231,672,3748,3748
232,672,3764,3764
233,768,3780,3780
234,640,3796,3796
235,672,3812,3812
236,672,3828,3828
237,672,3844,3844
238,672,3860,3860
239,704,3876,3876
240,672,3892,3892
241,704,3908,3908
242,672,3924,3924
243,672,3940,3940
244,672,3956,3956
245,672,3972,3972
246,672,3988,3988
247,640,4004,4004
248,672,4020,4020
249,672,4036,4036
250,640,4052,4052
251,672,4068,4068
252,672,4084,4084
253,672,4100,4100
254,672,4116,4116
255,672,4132,4132
256,672,4148,4148
257,672,4164,4164
258,640,4180,4180
259,640,4196,4196
260,672,4212,4212
261,672,4228,4228
262,672,4244,4244
263,640,4260,4260
264,640,4276,4276
265,704,4292,4292
266,704,4308,4308
267,672,4324,4324
268,672,4340,4340
269,640,4356,4356
270,672,4372,4372
271,672,4388,4388
272,672,4404,4404
273,672,4420,4420
274,672,4436,4436
275,672,4452,4452
276,672,4468,4468
277,672,4484,4484
278,672,4500,4500
279,672,4516,4516
280,704,4532,4532
281,672,4548,4548
282,672,4564,4564
283,672,4580,4580
284,672,4596,4596
285,672,4612,4612
286,704,4628,4628
287,704,4644,4644
288,672,4660,4660
289,672,4676,4676
290,672,4692,4692
291,672,4708,4708
292,672,4724,4724
293,640,4740,4740
294,640,4756,4756
295,672,4772,4772
296,640,4788,4788
297,640,4804,4804
298,704,4820,4820
299,672,4836,4836
300,672,4852,4852
301,640,4868,4868
302,672,4884,4884
303,672,4900,4900
304,672,4916,4916
305,672,4932,4932
306,672,4948,4948
307,672,4964,4964
308,672,4980,4980
309,672,4996,4996
310,672,5012,5012
311,672,5028,5028
312,672,5044,5044
313,704,5060,5060
314,672,5076,5076
315,672,5092,5092
316,672,5108,5108
